Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2848,Milk - Excluding Butter,2022,2022,g/cap/d,5.13,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2761,Freshwater Fish,2016,2016,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2016,2016,kg/cap,0.23,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2761,Freshwater Fish,2016,2016,g/cap/d,0.07,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2761,Freshwater Fish,2022,2022,1000 t,0.7,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2022,2022,kg/cap,0.32,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2761,Freshwater Fish,2022,2022,g/cap/d,0.1,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2762,Demersal Fish,2022,2022,1000 t,0.08,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2022,2022,kg/cap,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2762,Demersal Fish,2022,2022,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2763,Pelagic Fish,2022,2022,1000 t,1.95,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2022,2022,kg/cap,0.05,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2763,Pelagic Fish,2022,2022,g/cap/d,0.01,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2764,"Marine Fish, Other",2022,2022,1000 t,0.24,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2764,"Marine Fish, Other",2022,2022,kg/cap,0.01,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2764,"Marine Fish, Other",2022,2022,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2765,Crustaceans,2022,2022,1000 t,0.09,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2765,Crustaceans,2022,2022,kg/cap,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2765,Crustaceans,2022,2022,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2766,Cephalopods,2022,2022,1000 t,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2766,Cephalopods,2022,2022,kg/cap,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2766,Cephalopods,2022,2022,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2767,"Molluscs, Other",2022,2022,1000 t,0.01,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2767,"Molluscs, Other",2022,2022,kg/cap,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2767,"Molluscs, Other",2022,2022,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2769,"Aquatic Animals, Others",2022,2022,1000 t,0.17,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2769,"Aquatic Animals, Others",2022,2022,kg/cap,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2769,"Aquatic Animals, Others",2022,2022,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2731,Bovine Meat,2016,2016,1000 t,1,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2016,2016,kg/cap,13.99,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2731,Bovine Meat,2016,2016,g/cap/d,5.84,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2731,Bovine Meat,2022,2022,1000 t,13,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2022,2022,kg/cap,15.19,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2731,Bovine Meat,2022,2022,g/cap/d,6.23,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2016,2016,kg/cap,9.13,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2016,2016,g/cap/d,4.24,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2732,Mutton & Goat Meat,2022,2022,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2022,2022,kg/cap,8.87,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2022,2022,g/cap/d,4.09,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2733,Pigmeat,2016,2016,1000 t,9,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2016,2016,kg/cap,7.11,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2016,2016,g/cap/d,2.71,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2733,Pigmeat,2022,2022,1000 t,10,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2022,2022,kg/cap,6.31,E,Estimated value,
